total,id,geographic_area_name
927781,13135,"Gwinnett County, Georgia"
202148,13139,"Hall County, Georgia"
230220,13151,"Henry County, Georgia"
155469,13153,"Houston County, Georgia"
70422,13157,"Jackson County, Georgia"
116321,13185,"Lowndes County, Georgia"
194160,13215,"Muscogee County, Georgia"
109541,13217,"Newton County, Georgia"
164044,13223,"Paulding County, Georgia"
201554,13245,"Richmond County, Georgia"
90594,13247,"Rockdale County, Georgia"
66100,13255,"Spalding County, Georgia"
70034,13285,"Troup County, Georgia"
69410,13295,"Walker County, Georgia"
93503,13297,"Walton County, Georgia"
104062,13313,"Whitfield County, Georgia"
200983,15001,"Hawaii County, Hawaii"
980080,15003,"Honolulu County, Hawaii"
72133,15007,"Kauai County, Hawaii"
167218,15009,"Maui County, Hawaii"
469966,16001,"Ada County, Idaho"
87138,16005,"Bannock County, Idaho"
116854,16019,"Bonneville County, Idaho"
223499,16027,"Canyon County, Idaho"
161505,16055,"Kootenai County, Idaho"
86081,16083,"Twin Falls County, Idaho"
65691,17001,"Adams County, Illinois"
209983,17019,"Champaign County, Illinois"
5180493,17031,"Cook County, Illinois"
104143,17037,"DeKalb County, Illinois"
928589,17043,"DuPage County, Illinois"
534216,17089,"Kane County, Illinois"
110024,17091,"Kankakee County, Illinois"
127915,17093,"Kendall County, Illinois"
700832,17097,"Lake County, Illinois"
109430,17099,"LaSalle County, Illinois"
308570,17111,"McHenry County, Illinois"
172828,17113,"McLean County, Illinois"
104712,17115,"Macon County, Illinois"
264461,17119,"Madison County, Illinois"
180621,17143,"Peoria County, Illinois"
143477,17161,"Rock Island County, Illinois"
261059,17163,"St. Clair County, Illinois"
195348,17167,"Sangamon County, Illinois"
132328,17179,"Tazewell County, Illinois"
76806,17183,"Vermilion County, Illinois"
692310,17197,"Will County, Illinois"
67056,17199,"Williamson County, Illinois"
284081,17201,"Winnebago County, Illinois"
375351,18003,"Allen County, Indiana"
82753,18005,"Bartholomew County, Indiana"
66999,18011,"Boone County, Indiana"
117360,18019,"Clark County, Indiana"
114772,18035,"Delaware County, Indiana"
205560,18039,"Elkhart County, Indiana"
77781,18043,"Floyd County, Indiana"
65936,18053,"Grant County, Indiana"
330086,18057,"Hamilton County, Indiana"
76351,18059,"Hancock County, Indiana"
167009,18063,"Hendricks County, Indiana"
82366,18067,"Howard County, Indiana"
156225,18081,"Johnson County, Indiana"
79344,18085,"Kosciusko County, Indiana"
484411,18089,"Lake County, Indiana"
110007,18091,"LaPorte County, Indiana"
129641,18095,"Madison County, Indiana"
954670,18097,"Marion County, Indiana"
146917,18105,"Monroe County, Indiana"
70116,18109,"Morgan County, Indiana"
169594,18127,"Porter County, Indiana"
270771,18141,"St. Joseph County, Indiana"
193048,18157,"Tippecanoe County, Indiana"
180974,18163,"Vanderburgh County, Indiana"
107386,18167,"Vigo County, Indiana"
65936,18177,"Wayne County, Indiana"
132408,19013,"Black Hawk County, Iowa"
90180,19049,"Dallas County, Iowa"
96854,19061,"Dubuque County, Iowa"
151260,19103,"Johnson County, Iowa"
225909,19113,"Linn County, Iowa"
487204,19153,"Polk County, Iowa"
93533,19155,"Pottawattamie County, Iowa"
173283,19163,"Scott County, Iowa"
98105,19169,"Story County, Iowa"
102539,19193,"Woodbury County, Iowa"
66765,20015,"Butler County, Kansas"
121436,20045,"Douglas County, Kansas"
597555,20091,"Johnson County, Kansas"
81352,20103,"Leavenworth County, Kansas"
73703,20161,"Riley County, Kansas"
513607,20173,"Sedgwick County, Kansas"
177499,20177,"Shawnee County, Kansas"
165324,20209,"Wyandotte County, Kansas"
131533,21015,"Boone County, Kentucky"
81069,21029,"Bullitt County, Kentucky"
93152,21037,"Campbell County, Kentucky"
71671,21047,"Christian County, Kentucky"
101104,21059,"Daviess County, Kentucky"
323780,21067,"Fayette County, Kentucky"
110356,21093,"Hardin County, Kentucky"
770517,21111,"Jefferson County, Kentucky"
166051,21117,"Kenton County, Kentucky"
65346,21145,"McCracken County, Kentucky"
92368,21151,"Madison County, Kentucky"
66470,21185,"Oldham County, Kentucky"
131264,21227,"Warren County, Kentucky"
124672,22005,"Ascension Parish, Louisiana"
127185,22015,"Bossier Parish, Louisiana"
242922,22017,"Caddo Parish, Louisiana"
203112,22019,"Calcasieu Parish, Louisiana"
440956,22033,"East Baton Rouge Parish, Louisiana"
70941,22045,"Iberia Parish, Louisiana"
434051,22051,"Jefferson Parish, Louisiana"
242782,22055,"Lafayette Parish, Louisiana"
98115,22057,"Lafourche Parish, Louisiana"
139567,22063,"Livingston Parish, Louisiana"
391006,22071,"Orleans Parish, Louisiana"
154475,22073,"Ouachita Parish, Louisiana"
130562,22079,"Rapides Parish, Louisiana"
82764,22097,"St. Landry Parish, Louisiana"
258111,22103,"St. Tammany Parish, Louisiana"
133777,22105,"Tangipahoa Parish, Louisiana"
111021,22109,"Terrebonne Parish, Louisiana"
107679,23001,"Androscoggin County, Maine"
67111,23003,"Aroostook County, Maine"
293557,23005,"Cumberland County, Maine"
122083,23011,"Kennebec County, Maine"
151096,23019,"Penobscot County, Maine"
206229,23031,"York County, Maine"
70975,24001,"Allegany County, Maryland"
576031,24003,"Anne Arundel County, Maryland"
828431,24005,"Baltimore County, Maryland"
92003,24009,"Calvert County, Maryland"
168429,24013,"Carroll County, Maryland"
102826,24015,"Cecil County, Maryland"
161503,24017,"Charles County, Maryland"
255648,24021,"Frederick County, Maryland"
253956,24025,"Harford County, Maryland"
323196,24027,"Howard County, Maryland"
1052567,24031,"Montgomery County, Maryland"
909308,24033,"Prince George''s County, Maryland"
112664,24037,"St. Mary''s County, Maryland"
150926,24043,"Washington County, Maryland"
103195,24045,"Wicomico County, Maryland"
602495,24510,"Baltimore city, Maryland"
213413,25001,"Barnstable County, Massachusetts"
126348,25003,"Berkshire County, Massachusetts"
564022,25005,"Bristol County, Massachusetts"
790638,25009,"Essex County, Massachusetts"
70963,25011,"Franklin County, Massachusetts"
470406,25013,"Hampden County, Massachusetts"
161355,25015,"Hampshire County, Massachusetts"
1614714,25017,"Middlesex County, Massachusetts"
705388,25021,"Norfolk County, Massachusetts"
518132,25023,"Plymouth County, Massachusetts"
807252,25025,"Suffolk County, Massachusetts"
830839,25027,"Worcester County, Massachusetts"
117327,26005,"Allegan County, Michigan"
103923,26017,"Bay County, Michigan"
154141,26021,"Berrien County, Michigan"
134487,26025,"Calhoun County, Michigan"
79332,26037,"Clinton County, Michigan"
109826,26045,"Eaton County, Michigan"
406892,26049,"Genesee County, Michigan"
92573,26055,"Grand Traverse County, Michigan"
292735,26065,"Ingham County, Michigan"
70562,26073,"Isabella County, Michigan"
158823,26075,"Jackson County, Michigan"
264870,26077,"Kalamazoo County, Michigan"
653786,26081,"Kent County, Michigan"
88028,26087,"Lapeer County, Michigan"
98266,26091,"Lenawee County, Michigan"
191224,26093,"Livingston County, Michigan"
874759,26099,"Macomb County, Michigan"
66516,26103,"Marquette County, Michigan"
83209,26111,"Midland County, Michigan"
150439,26115,"Monroe County, Michigan"
173588,26121,"Muskegon County, Michigan"
1259201,26125,"Oakland County, Michigan"
290494,26139,"Ottawa County, Michigan"
190800,26145,"Saginaw County, Michigan"
159337,26147,"St. Clair County, Michigan"
68192,26155,"Shiawassee County, Michigan"
75448,26159,"Van Buren County, Michigan"
370963,26161,"Washtenaw County, Michigan"
1753893,26163,"Wayne County, Michigan"
353813,27003,"Anoka County, Minnesota"
67427,27013,"Blue Earth County, Minnesota"
103551,27019,"Carver County, Minnesota"
425423,27037,"Dakota County, Minnesota"
1259428,27053,"Hennepin County, Minnesota"
156277,27109,"Olmsted County, Minnesota"
550210,27123,"Ramsey County, Minnesota"
66523,27131,"Rice County, Minnesota"
199754,27137,"St. Louis County, Minnesota"
147381,27139,"Scott County, Minnesota"
96036,27141,"Sherburne County, Minnesota"
159256,27145,"Stearns County, Minnesota"
259201,27163,"Washington County, Minnesota"
136349,27171,"Wright County, Minnesota"
182001,28033,"DeSoto County, Mississippi"
75036,28035,"Forrest County, Mississippi"
206650,28047,"Harrison County, Mississippi"
237085,28049,"Hinds County, Mississippi"
143277,28059,"Jackson County, Mississippi"
68461,28067,"Jones County, Mississippi"
75317,28075,"Lauderdale County, Mississippi"
85202,28081,"Lee County, Mississippi"
105630,28089,"Madison County, Mississippi"
153902,28121,"Rankin County, Mississippi"
180005,29019,"Boone County, Missouri"
88571,29021,"Buchanan County, Missouri"
78753,29031,"Cape Girardeau County, Missouri"
104954,29037,"Cass County, Missouri"
86983,29043,"Christian County, Missouri"
246365,29047,"Clay County, Missouri"
76796,29051,"Cole County, Missouri"
103670,29071,"Franklin County, Missouri"
291923,29077,"Greene County, Missouri"
700307,29095,"Jackson County, Missouri"
120636,29097,"Jasper County, Missouri"
224347,29099,"Jefferson County, Missouri"
102985,29165,"Platte County, Missouri"
399182,29183,"St. Charles County, Missouri"
66692,29187,"St. Francois County, Missouri"
996945,29189,"St. Louis County, Missouri"
302838,29510,"St. Louis city, Missouri"
81643,30013,"Cascade County, Montana"
102106,30029,"Flathead County, Montana"
111876,30031,"Gallatin County, Montana"
68700,30049,"Lewis and Clark County, Montana"
118791,30063,"Missoula County, Montana"
160137,30111,"Yellowstone County, Montana"
566880,31055,"Douglas County, Nebraska"
317272,31109,"Lancaster County, Nebraska"
184459,31153,"Sarpy County, Nebraska"
2231647,32003,"Clark County, Nevada"
465735,32031,"Washoe County, Nevada"
76493,33005,"Cheshire County, New Hampshire"
89786,33009,"Grafton County, New Hampshire"
415247,33011,"Hillsborough County, New Hampshire"
151132,33013,"Merrimack County, New Hampshire"
309176,33015,"Rockingham County, New Hampshire"
130090,33017,"Strafford County, New Hampshire"
265429,34001,"Atlantic County, New Jersey"
936692,34003,"Bergen County, New Jersey"
445384,34005,"Burlington County, New Jersey"
507078,34007,"Camden County, New Jersey"
92560,34009,"Cape May County, New Jersey"
150972,34011,"Cumberland County, New Jersey"
799767,34013,"Essex County, New Jersey"
291408,34015,"Gloucester County, New Jersey"
676061,34017,"Hudson County, New Jersey"
124714,34019,"Hunterdon County, New Jersey"
369811,34021,"Mercer County, New Jersey"
829685,34023,"Middlesex County, New Jersey"
621354,34025,"Monmouth County, New Jersey"
494228,34027,"Morris County, New Jersey"
601651,34029,"Ocean County, New Jersey"
503310,34031,"Passaic County, New Jersey"
62607,34033,"Salem County, New Jersey"
331164,34035,"Somerset County, New Jersey"
140799,34037,"Sussex County, New Jersey"
558067,34039,"Union County, New Jersey"
105779,34041,"Warren County, New Jersey"
678701,35001,"Bernalillo County, New Mexico"
64689,35005,"Chaves County, New Mexico"
217522,35013,"Doña Ana County, New Mexico"
69611,35025,"Lea County, New Mexico"
72290,35031,"McKinley County, New Mexico"
66781,35035,"Otero County, New Mexico"
145179,35043,"Sandoval County, New Mexico"
125043,35045,"San Juan County, New Mexico"
150056,35049,"Santa Fe County, New Mexico"
76456,35061,"Valencia County, New Mexico"
307117,36001,"Albany County, New York"
1432132,36005,"Bronx County, New York"
191659,36007,"Broome County, New York"
76840,36009,"Cattaraugus County, New York"
77145,36011,"Cayuga County, New York"
127939,36013,"Chautauqua County, New York"
84254,36015,"Chemung County, New York"
80695,36019,"Clinton County, New York"
293718,36027,"Dutchess County, New York"
919719,36029,"Erie County, New York"
111755,36045,"Jefferson County, New York"
2582830,36047,"Kings County, New York"
63227,36051,"Livingston County, New York"
70795,36053,"Madison County, New York"
742474,36055,"Monroe County, New York"
1358343,36059,"Nassau County, New York"
1628701,36061,"New York County, New York"
210433,36063,"Niagara County, New York"
229577,36065,"Oneida County, New York"
461809,36067,"Onondaga County, New York"
109864,36069,"Ontario County, New York"
381951,36071,"Orange County, New York"
117898,36075,"Oswego County, New York"
98892,36079,"Putnam County, New York"
2278906,36081,"Queens County, New York"
159442,36083,"Rensselaer County, New York"
476179,36085,"Richmond County, New York"
325695,36087,"Rockland County, New York"
108047,36089,"St. Lawrence County, New York"
230163,36091,"Saratoga County, New York"
155350,36093,"Schenectady County, New York"
95796,36101,"Steuben County, New York"
1481093,36103,"Suffolk County, New York"
75498,36105,"Sullivan County, New York"
102793,36109,"Tompkins County, New York"
178599,36111,"Ulster County, New York"
64265,36113,"Warren County, New York"
90064,36117,"Wayne County, New York"
967612,36119,"Westchester County, New York"
166436,37001,"Alamance County, North Carolina"
136744,37019,"Brunswick County, North Carolina"
259103,37021,"Buncombe County, North Carolina"
90382,37023,"Burke County, North Carolina"
211342,37025,"Cabarrus County, North Carolina"
82029,37027,"Caldwell County, North Carolina"
69524,37031,"Carteret County, North Carolina"
158652,37035,"Catawba County, North Carolina"
73139,37037,"Chatham County, North Carolina"
97645,37045,"Cleveland County, North Carolina"
102912,37049,"Craven County, North Carolina"
332330,37051,"Cumberland County, North Carolina"
166614,37057,"Davidson County, North Carolina"
316739,37063,"Durham County, North Carolina"
379099,37067,"Forsyth County, North Carolina"
67560,37069,"Franklin County, North Carolina"
222846,37071,"Gaston County, North Carolina"
533670,37081,"Guilford County, North Carolina"
134214,37085,"Harnett County, North Carolina"
116748,37089,"Henderson County, North Carolina"
178435,37097,"Iredell County, North Carolina"
202675,37101,"Johnston County, North Carolina"
83770,37109,"Lincoln County, North Carolina"
1093901,37119,"Mecklenburg County, North Carolina"
98682,37125,"Moore County, North Carolina"
94016,37127,"Nash County, North Carolina"
232274,37129,"New Hanover County, North Carolina"
197683,37133,"Onslow County, North Carolina"
146027,37135,"Orange County, North Carolina"
179914,37147,"Pitt County, North Carolina"
143351,37151,"Randolph County, North Carolina"
131831,37155,"Robeson County, North Carolina"
90690,37157,"Rockingham County, North Carolina"
141262,37159,"Rowan County, North Carolina"
66826,37161,"Rutherford County, North Carolina"
71948,37171,"Surry County, North Carolina"
235908,37179,"Union County, North Carolina"
1092305,37183,"Wake County, North Carolina"
123248,37191,"Wayne County, North Carolina"
68557,37193,"Wilkes County, North Carolina"
81455,37195,"Wilson County, North Carolina"
95273,38015,"Burleigh County, North Dakota"
181516,38017,"Cass County, North Dakota"
70770,38035,"Grand Forks County, North Dakota"
67744,38101,"Ward County, North Dakota"
102663,39003,"Allen County, Ohio"
97493,39007,"Ashtabula County, Ohio"
65818,39009,"Athens County, Ohio"
67505,39013,"Belmont County, Ohio"
382378,39017,"Butler County, Ohio"
134585,39023,"Clark County, Ohio"
205466,39025,"Clermont County, Ohio"
102665,39029,"Columbiana County, Ohio"
1243857,39035,"Cuyahoga County, Ohio"
204826,39041,"Delaware County, Ohio"
74615,39043,"Erie County, Ohio"
155782,39045,"Fairfield County, Ohio"
1310300,39049,"Franklin County, Ohio"
94031,39055,"Geauga County, Ohio"
167995,39057,"Greene County, Ohio"
816684,39061,"Hamilton County, Ohio"
75930,39063,"Hancock County, Ohio"
65767,39081,"Jefferson County, Ohio"
230514,39085,"Lake County, Ohio"
175769,39089,"Licking County, Ohio"
309461,39093,"Lorain County, Ohio"
429899,39095,"Lucas County, Ohio"
229642,39099,"Mahoning County, Ohio"
65256,39101,"Marion County, Ohio"
179146,39103,"Medina County, Ohio"
106222,39109,"Miami County, Ohio"
532331,39113,"Montgomery County, Ohio"
86183,39119,"Muskingum County, Ohio"
162927,39133,"Portage County, Ohio"
121099,39139,"Richland County, Ohio"
76931,39141,"Ross County, Ohio"
75502,39145,"Scioto County, Ohio"
371574,39151,"Stark County, Ohio"
541918,39153,"Summit County, Ohio"
198627,39155,"Trumbull County, Ohio"
92176,39157,"Tuscarawas County, Ohio"
232173,39165,"Warren County, Ohio"
115967,39169,"Wayne County, Ohio"
130696,39173,"Wood County, Ohio"
144447,40017,"Canadian County, Oklahoma"
281669,40027,"Cleveland County, Oklahoma"
120422,40031,"Comanche County, Oklahoma"
71604,40037,"Creek County, Oklahoma"
68362,40101,"Muskogee County, Oklahoma"
792582,40109,"Oklahoma County, Oklahoma"
82040,40119,"Payne County, Oklahoma"
72679,40125,"Pottawatomie County, Oklahoma"
91984,40131,"Rogers County, Oklahoma"
648360,40143,"Tulsa County, Oklahoma"
80110,40145,"Wagoner County, Oklahoma"
92101,41003,"Benton County, Oregon"
416075,41005,"Clackamas County, Oregon"
191996,41017,"Deschutes County, Oregon"
110283,41019,"Douglas County, Oregon"
219564,41029,"Jackson County, Oregon"
87393,41033,"Josephine County, Oregon"
67653,41035,"Klamath County, Oregon"
379611,41039,"Lane County, Oregon"
127335,41043,"Linn County, Oregon"
346868,41047,"Marion County, Oregon"
811880,41051,"Multnomah County, Oregon"
85234,41053,"Polk County, Oregon"
77516,41059,"Umatilla County, Oregon"
597695,41067,"Washington County, Oregon"
107002,41071,"Yamhill County, Oregon"
102811,42001,"Adams County, Pennsylvania"
1218452,42003,"Allegheny County, Pennsylvania"
65263,42005,"Armstrong County, Pennsylvania"
164742,42007,"Beaver County, Pennsylvania"
420152,42011,"Berks County, Pennsylvania"
122492,42013,"Blair County, Pennsylvania"
628195,42017,"Bucks County, Pennsylvania"
187888,42019,"Butler County, Pennsylvania"
131730,42021,"Cambria County, Pennsylvania"
64227,42025,"Carbon County, Pennsylvania"
162805,42027,"Centre County, Pennsylvania"
522046,42029,"Chester County, Pennsylvania"
79388,42033,"Clearfield County, Pennsylvania"
65456,42037,"Columbia County, Pennsylvania"
85063,42039,"Crawford County, Pennsylvania"
251423,42041,"Cumberland County, Pennsylvania"
277097,42043,"Dauphin County, Pennsylvania"
564751,42045,"Delaware County, Pennsylvania"
272061,42049,"Erie County, Pennsylvania"
130441,42051,"Fayette County, Pennsylvania"
154835,42055,"Franklin County, Pennsylvania"
84501,42063,"Indiana County, Pennsylvania"
210793,42069,"Lackawanna County, Pennsylvania"
543557,42071,"Lancaster County, Pennsylvania"
86184,42073,"Lawrence County, Pennsylvania"
141314,42075,"Lebanon County, Pennsylvania"
368100,42077,"Lehigh County, Pennsylvania"
317646,42079,"Luzerne County, Pennsylvania"
113664,42081,"Lycoming County, Pennsylvania"
110683,42085,"Mercer County, Pennsylvania"
169507,42089,"Monroe County, Pennsylvania"
828604,42091,"Montgomery County, Pennsylvania"
304807,42095,"Northampton County, Pennsylvania"
91083,42097,"Northumberland County, Pennsylvania"
1584138,42101,"Philadelphia County, Pennsylvania"
142067,42107,"Schuylkill County, Pennsylvania"
73952,42111,"Somerset County, Pennsylvania"
207346,42125,"Washington County, Pennsylvania"
350611,42129,"Westmoreland County, Pennsylvania"
448273,42133,"York County, Pennsylvania"
163861,44003,"Kent County, Rhode Island"
82542,44005,"Newport County, Rhode Island"
636084,44007,"Providence County, Rhode Island"
126179,44009,"Washington County, Rhode Island"
169401,45003,"Aiken County, South Carolina"
200482,45007,"Anderson County, South Carolina"
188715,45013,"Beaufort County, South Carolina"
221091,45015,"Berkeley County, South Carolina"
405905,45019,"Charleston County, South Carolina"
66802,45031,"Darlington County, South Carolina"
160647,45035,"Dorchester County, South Carolina"
138159,45041,"Florence County, South Carolina"
514213,45045,"Greenville County, South Carolina"
70741,45047,"Greenwood County, South Carolina"
344147,45051,"Horry County, South Carolina"
65592,45055,"Kershaw County, South Carolina"
95380,45057,"Lancaster County, South Carolina"
66994,45059,"Laurens County, South Carolina"
295032,45063,"Lexington County, South Carolina"
78374,45073,"Oconee County, South Carolina"
86934,45075,"Orangeburg County, South Carolina"
124937,45077,"Pickens County, South Carolina"
414576,45079,"Richland County, South Carolina"
313888,45083,"Spartanburg County, South Carolina"
106512,45085,"Sumter County, South Carolina"
274118,45091,"York County, South Carolina"
192876,46099,"Minnehaha County, South Dakota"
111729,46103,"Pennington County, South Dakota"
76482,47001,"Anderson County, Tennessee"
131349,47009,"Blount County, Tennessee"
106727,47011,"Bradley County, Tennessee"
692587,47037,"Davidson County, Tennessee"
69087,47059,"Greene County, Tennessee"
364286,47065,"Hamilton County, Tennessee"
465289,47093,"Knox County, Tennessee"
97605,47113,"Madison County, Tennessee"
94340,47119,"Maury County, Tennessee"
205950,47125,"Montgomery County, Tennessee"
78843,47141,"Putnam County, Tennessee"
71012,47147,"Robertson County, Tennessee"
324890,47149,"Rutherford County, Tennessee"
97892,47155,"Sevier County, Tennessee"
935764,47157,"Shelby County, Tennessee"
157668,47163,"Sullivan County, Tennessee"
187149,47165,"Sumner County, Tennessee"
128607,47179,"Washington County, Tennessee"
231729,47187,"Williamson County, Tennessee"
140625,47189,"Wilson County, Tennessee"
87092,48005,"Angelina County, Texas"
86976,48021,"Bastrop County, Texas"
355642,48027,"Bell County, Texas"
1986049,48029,"Bexar County, Texas"
94324,48037,"Bowie County, Texas"
370200,48039,"Brazoria County, Texas"
226758,48041,"Brazos County, Texas"
423908,48061,"Cameron County, Texas"
1005146,48085,"Collin County, Texas"
148373,48091,"Comal County, Texas"
74808,48099,"Coryell County, Texas"
2637772,48113,"Dallas County, Texas"
859064,48121,"Denton County, Texas"
162124,48135,"Ector County, Texas"
179436,48139,"Ellis County, Texas"
840758,48141,"El Paso County, Texas"
787858,48157,"Fort Bend County, Texas"
337890,48167,"Galveston County, Texas"
133991,48181,"Grayson County, Texas"
123707,48183,"Gregg County, Texas"
163694,48187,"Guadalupe County, Texas"
4698619,48201,"Harris County, Texas"
66726,48203,"Harrison County, Texas"
222631,48209,"Hays County, Texas"
82299,48213,"Henderson County, Texas"
865939,48215,"Hidalgo County, Texas"
96493,48231,"Hunt County, Texas"
255001,48245,"Jefferson County, Texas"
171361,48251,"Johnson County, Texas"
128622,48257,"Kaufman County, Texas"
86323,48291,"Liberty County, Texas"
307412,48303,"Lubbock County, Texas"
254607,48309,"McLennan County, Texas"
